ETF_ID,ETF_Name,Ticker,Provider,Risk_Category,Asset_Class,Annualised_Volatility,Maximum_Drawdown,Daily_VaR_95,Daily_CVaR_95,Beta,Annualised_Volatility_Percent,Maximum_Drawdown_Percent,Daily_VaR_95_Percent,Daily_CVaR_95_Percent,Number_of_Holdings,Holdings_Count_Risk,Main_Currency_Exposure,Currency_Risk_Level,Currency_Risk_Score,Largest_Sector_Exposure,Number_of_Sectors,Sector_HHI,Effective_Sectors,Largest_Country_Exposure,Number_of_Countries,Country_HHI,Effective_Countries,Drawdown_Risk_Value,CVaR_Risk_Value,Beta_Risk_Value,Volatility_Score,Drawdown_Score,CVaR_Score,Beta_Score,Sector_Concentration_Score,Country_Concentration_Score,Market_Risk_Score,Concentration_Risk_Score,Overall_Risk_Score,Risk_Rank,Risk_Band,Main_Risk_Driver
IUHC,iShares S&P 500 Health Care Sector UCITS ETF,IUHC.L,iShares,Medium,Equity,0.1486398737556159,-0.1763040349255382,-0.0149491679305234,-0.0210810554580049,0.56,14.86,-17.63,1.49,2.11,60,62.89,USD,Medium,50,100.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,0.1763040349255382,0.0210810554580049,0.56,44.38212713050758,21.94195843465547,51.550942682319736,38.06934058463631,100.00000000000001,100.0,38.49536242782429,85.156,53.64401745669457,6,Moderate,Concentration risk
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,iShares,Higher,Equity,0.3096235354163981,-0.5852475673716888,-0.0252077024091686,-0.0383557006827905,1.04,30.96,-58.52,2.52,3.84,106,56.79,USD / multi-country,High,75,39.0,4.0,0.333,3.0,100.0,1.0,1.0,1.0,0.5852475673716888,0.0383557006827905,1.04,100.0,100.0,100.0,70.70020394289598,22.25201072386059,100.0,95.6050305914344,59.39160321715818,82.6804993200081,1,Very High,Market risk
VGOV,Vanguard U.K. Gilt UCITS ETF,VGOV.L,Vanguard,Lower,Bond,0.1130849316495864,-0.3737801042219877,-0.0109822008902908,-0.0154397149678123,0.038,11.31,-37.38,1.1,1.54,64,62.2,GBP,Low,25,,,,,99.7,2.0,0.994,1.01,0.3737801042219877,0.0154397149678123,0.038,32.09833243025909,59.635659403829976,35.72904734372623,2.5832766825288918,,99.31058255773871,36.839950888537615,78.10453538188803,48.03533114768898,8,Moderate,Concentration risk
IGLO,iShares Global Govt Bond UCITS ETF,IGLO.L,iShares,Lower,Bond,0.0745652348711249,-0.2588250778622329,-0.0076698126430741,-0.0100327948690647,-0.02,7.46,-25.88,0.77,1.0,895,33.71,USD / multi-developed government bond currencies,Medium,50,,,,,55.12,8.0,0.3408,2.93,0.2588250778622329,0.0100327948690647,0.0,18.790251496491997,37.69335315910022,20.564615405032615,0.0,,24.256003676893027,22.086235247935818,29.658287290097014,27.149227335790595,17,Low,Currency risk
IBTG,iShares $ Treasury Bond 1-3yr UCITS ETF GBP Hedged,IBTG.L,iShares,Lower,Bond,0.0201776192834114,-0.0613508307314123,-0.001755000148379,-0.0027004244376495,-0.023,2.02,-6.14,0.18,0.27,91,58.43,GBP-hedged USD Treasury exposure,Low,25,,,,,99.83,2.0,0.9966,1.0,0.0613508307314123,0.0027004244376495,0.0,0.0,0.0,0.0,0.0,,99.60933011605194,0.0,76.07828433545083,25.323485300635248,19,Low,Concentration risk
AGGG,iShares Core Global Aggregate Bond UCITS ETF,AGGG.L,iShares,Lower,Bond,0.0681881421312833,-0.2423754400891471,-0.0067558749346579,-0.0094017360274647,0.023,6.82,-24.24,0.68,0.94,19974,0.0,USD / multi-currency global aggregate bonds,Medium,50,,,,,48.33,7.0,0.3243,3.08,0.2423754400891471,0.0094017360274647,0.023,16.58704447770247,34.55349054446045,18.794726322526913,1.5635622025832765,,22.36010571067448,20.275376417668095,9.58290244743192,20.040096584830433,20,Low,Currency risk
CORP,iShares Global Corp Bond UCITS ETF,CORP.L,iShares,Medium,Bond,0.0691858817492874,-0.2480241909329648,-0.0068786339847725,-0.0101199543042368,0.104,6.92,-24.8,0.69,1.01,14720,3.31,USD / multi-currency global corporate bonds,Medium,50,,,,,89.67,3.0,0.813,1.23,0.2480241909329648,0.0101199543042368,0.104,16.93175123029168,35.631708912462294,20.809065720247823,7.070020394289599,,78.51315638285647,22.03180753203159,35.53992416408135,28.88106176844336,16,Low,Currency risk
GHYS,iShares Global High Yield Corp Bond GBP Hedged UCITS ETF,GHYS.L,iShares,Higher,Bond,0.0598154568357372,-0.1469938450298936,-0.006136786301901,-0.0089092935259913,0.268,5.98,-14.7,0.61,0.89,1768,26.32,GBP-hedged global high-yield exposure,Low,25,,,,,90.67,5.0,0.8272,1.21,0.1469938450298936,0.0089092935259913,0.268,13.694384803174797,16.347308221025703,17.413605340353875,18.218898708361657,,80.14477766287487,16.098744048602867,49.3877618555178,26.97557498581706,18,Low,Concentration risk
SGLN,iShares Physical Gold ETC,SGLN.L,iShares,Alternative,Gold,0.1655880337797864,-0.2488946684005211,-0.0158726126409734,-0.0244987495856292,0.037,16.56,-24.89,1.59,2.45,1,100.0,USD gold price exposure,Medium,50,,,,,,,,,0.2488946684005211,0.0244987495856292,0.037,50.23750773169167,35.79786331020461,61.13632383075511,2.515295717199184,,,41.47198662783754,100.0,59.88319197670252,5,Moderate,Concentration risk
IWDP,iShares Developed Markets Property Yield UCITS ETF,IWDP.L,iShares,Alternative,Property,0.1379689569053468,-0.3026875726494863,-0.0143290771873012,-0.0198762010673019,0.67,13.8,-30.27,1.43,1.99,315,45.03,USD / multi-developed property currencies,Medium,50,,,,,100.0,1.0,1.0,1.0,0.3026875726494863,0.0198762010673019,0.67,40.69545675255472,46.065708190082354,48.17176709433871,45.547246770904145,,100.0,44.90337827201142,68.58857142857143,52.51859839177828,7,Moderate,Concentration risk
