ETF_ID,ETF_Name,Ticker,Asset_Class,Sector,Weight (%),Source_Quality,Data_As_Of,Source_URL,Notes
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Communication Services,9.81,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Consumer Discretionary,9.18,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Health Care,8.95,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Industrials,8.6,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Consumer Staples,4.59,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Energy,3.29,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Utilities,2.17,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Real Estate,1.89,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Equity,Materials,1.8,Exact index benchmark,2026-07-21,https://www.ssga.com/uk/en_gb/institutional/etfs/state-street-spdr-sp-500-etf-trust-spy,S&P 500 benchmark sector allocation.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Financials,28.61,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Consumer Staples,13.93,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Industrials,13.36,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Health Care,12.22,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Energy,10.7,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Materials,7.52,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Utilities,4.59,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Consumer Discretionary,4.43,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Communication,1.94,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Real Estate,1.16,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Information Technology,0.95,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,Equity,Cash and/or Derivatives,0.6,Exact provider,2026-07-21,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund,Official iShares portfolio characteristics.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Technology,68.51,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Consumer Discretionary,16.43,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Health Care,3.56,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Telecommunications,3.46,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Industrials,3.13,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Consumer Staples,2.04,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Basic Materials,1.28,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Utilities,1.14,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
