Date,VWRP.L,SWDA.L,VUAG.L,ISF.L,EQQQ.L,VEUR.L,VJPN.L,VFEG.L,IUIT.L,IUHC.L,INRG.L,VGOV.L,IGLO.L,IBTG.L,AGGG.L,CORP.L,GHYS.L,SGLN.L,IWDP.L,ICHN.AS
2021-07-22,81.83499908447266,6083.5,57.724998474121094,681.8519287109375,26504.806640625,26.007369995117188,23.586448669433594,48.1974983215332,19.19499969482422,9.787500381469728,950.5985107421876,21.207935333251953,105.79977416992188,4.321871280670166,4.794285297393799,90.25740814208984,76.4500503540039,2565.0,2121.74658203125,7.02209997177124
2021-07-23,82.41999816894531,6141.0,58.334999084472656,687.8409423828125,26790.751953125,26.219423294067383,23.677200317382812,47.404998779296875,19.399999618530273,9.9037504196167,937.1043090820312,21.170839309692383,105.57164001464844,4.3227410316467285,4.787109851837158,90.17308044433594,76.5671615600586,2555.0,2125.7412109375,6.753799915313721
2021-07-26,82.04000091552734,6123.0,58.20500183105469,687.6412963867188,26751.763671875,26.17444229125977,23.39359664916992,46.35499954223633,19.392499923706055,9.861249923706056,927.3584594726562,21.19416046142578,105.9457778930664,4.322305679321289,4.7996673583984375,90.3164520263672,76.5905990600586,2540.5,2117.503662109375,6.474999904632568
2021-07-27,80.83000183105469,6053.0,57.60499954223633,683.947998046875,26160.87890625,26.02236557006836,23.273353576660156,44.84000015258789,19.084999084472656,9.883749961853027,906.3673095703124,21.256690979003903,106.24691772460938,4.3227410316467285,4.808636665344238,90.47661590576172,76.57498931884766,2533.0,2118.501953125,6.035999774932861
2021-07-28,81.48999786376953,6083.5,57.79499816894531,686.8427734375,26483.3125,26.095191955566406,23.327800750732425,46.102500915527344,19.260000228881836,9.923749923706056,927.6083984375,21.22277069091797,106.03702545166016,4.32339334487915,4.802358150482178,90.35858917236328,76.57498931884766,2531.5,2119.2509765625,6.453800201416016
2021-07-29,81.56999969482422,6088.0,57.689998626708984,693.4307250976562,26402.830078125,26.230133056640625,23.353891372680664,46.3224983215332,19.315000534057617,9.962499618530272,935.3551025390624,21.214292526245117,106.45680236816406,4.323176860809326,4.821195125579834,90.7885971069336,76.67648315429688,2558.0,2115.755615234375,6.4959001541137695
2021-07-30,81.38500213623047,6081.0,57.630001068115234,689.23828125,26290.853515625,26.18087387084961,23.210960388183594,46.212501525878906,19.219999313354492,9.984999656677246,934.3554077148438,21.217479705810547,106.3472900390625,4.324044704437256,4.815812110900879,90.57780456542967,76.69601440429688,2558.0,2126.48974609375,6.4405999183654785
2021-08-02,81.91999816894531,6111.5,57.8650016784668,693.730224609375,26480.3125,26.392921447753903,23.534265518188477,46.665000915527344,19.385000228881836,10.022500038146973,942.1021728515624,21.295902252197266,106.63929748535156,4.325348377227783,4.831061363220215,90.9234848022461,76.75847625732422,2551.0,2129.98388671875,6.541500091552734
2021-08-03,81.50499725341797,6088.0,57.54499816894531,696.2255249023438,26229.861328125,26.410058975219727,23.445777893066406,46.45000076293945,19.18000030517578,10.032500267028809,950.8485107421876,21.359498977661133,106.65756225585938,4.3257832527160645,4.829266548156738,90.90663146972656,76.58668518066406,2542.0,2111.0126953125,6.422100067138672
2021-08-04,81.73500061035156,6101.0,57.834999084472656,697.42333984375,26455.3203125,26.52358055114746,23.311918258666992,46.842498779296875,19.30500030517578,10.104999542236328,952.3477783203124,21.379638671875,106.6484375,4.324479579925537,4.829266548156738,90.66211700439452,76.5671615600586,2537.0,2117.7529296875,6.541100025177002
2021-08-05,81.99500274658203,6119.0,57.83000183105469,698.5213623046875,26619.7890625,26.544998168945312,23.40267562866211,46.81999969482422,19.46500015258789,9.986249923706056,948.5994262695312,21.364803314208984,106.6119384765625,4.322089195251465,4.830164432525635,90.82231903076172,76.69210052490234,2526.0,2123.494140625,6.5055999755859375
2021-08-06,82.2249984741211,6141.0,58.275001525878906,698.1220703125,26637.787109375,26.48287582397461,23.449188232421875,46.4474983215332,19.462499618530273,10.0,945.8506469726562,21.156005859375,105.79064178466795,4.321218967437744,4.802358150482178,90.22369384765624,76.72333526611328,2479.0,2136.22412109375,6.385700225830078
2021-08-09,82.30999755859375,6146.0,58.25,699.1201782226562,26699.76953125,26.55784797668457,23.441247940063477,46.8224983215332,19.405000686645508,10.06999969482422,957.8455200195312,21.334064483642575,105.67201232910156,4.321002006530762,4.794285297393799,89.96231079101562,76.72333526611328,2437.75,2122.49609375,6.513000011444092
2021-08-10,82.4800033569336,6160.0,58.400001525878906,701.6157836914062,26597.791015625,26.59212303161621,23.436704635620117,46.994998931884766,19.260000228881836,10.032500267028809,964.0928955078124,21.316041946411133,105.54425811767578,4.319697856903076,4.780831336975098,89.73466491699219,76.617919921875,2435.0,2119.500244140625,6.558300018310547
2021-08-11,82.48999786376953,6163.0,58.35499954223633,707.7047119140625,26477.814453125,26.69493103027344,23.718036651611328,47.05500030517578,19.219999313354492,9.987500190734863,948.5994262695312,21.333003997802734,105.48038482666016,4.319697856903076,4.78531551361084,89.71781158447266,76.55545806884766,2464.0,2116.005615234375,6.560699939727783
2021-08-12,82.75,6188.5,58.540000915527344,707.6047973632812,26622.2890625,26.81702423095703,23.706689834594727,46.7599983215332,19.36000061035156,10.015000343322754,940.3529052734376,21.236549377441406,105.50777435302734,4.319914817810059,4.787109851837158,89.91173553466797,76.53983306884766,2469.25,2108.389892578125,6.483500003814697
2021-08-13,82.87999725341797,6203.5,58.724998474121094,710.0004272460938,26680.7734375,26.945541381835938,23.76341438293457,46.595001220703125,19.434999465942383,10.079999923706056,942.1021728515624,21.282129287719727,105.96402740478516,4.320350646972656,4.8014607429504395,90.24053955078124,76.8794937133789,2499.5,2115.878662109375,6.4421000480651855
2021-08-16,82.41500091552734,6172.5,58.54499816894531,703.8119506835938,26444.322265625,26.78275680541992,23.586448669433594,46.192501068115234,19.354999542236328,10.149999618530272,930.85693359375,21.29378890991211,106.21953582763672,4.321436405181885,4.813570022583008,90.45133972167967,76.75847625732422,2515.0,2125.86474609375,6.302599906921387
